id,Date,Random,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
25,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,4.0,8.0
26,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,8.0
27,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,12.0
28,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,7.0
29,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,9.0
30,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,2.0,6.0
31,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,8.0
32,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,4.0,7.0
33,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
34,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,5.0
35,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
36,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,7.0,3.0
37,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,1.0,2.0
38,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Chrysiptera,rex,Chrysiptera rex,5.0,4.0
39,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,5.0,6.0
40,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Thalassoma,lunare,Thalassoma lunare,1.0,9.0
41,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
42,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
43,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,3.0,7.0
44,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Halichoeres,melanurus,Halichoeres melanurus,1.0,5.0
45,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,1.0,10.0
46,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,2.0,5.0
47,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,1.0,7.0
48,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,6.0,6.0
49,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,3.0,3.0
50,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,2.0,2.0
51,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Stethojulis,strigiventer,Stethojulis strigiventer,1.0,13.0
52,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Zanclus,cornutus,Zanclus cornutus,1.0,11.0
53,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,6.0
54,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1.0,7.0
55,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,1.0,7.0
56,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,1.0,8.0
57,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
58,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,9.0
59,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,7.0
60,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,2.0,8.0
61,,0,,,,,,,,,,,,
62,,1,,,,,,,,,,,,
63,,1,,,,,,,,,,,,
64,,1,,,,,,,,,,,,
65,,1,,,,,,,,,,,,
66,,0,,,,,,,,,,,,
67,,0,,,,,,,,,,,,
68,,1,,,,,,,,,,,,
69,,0,,,,,,,,,,,,
70,,1,,,,,,,,,,,,
71,,1,,,,,,,,,,,,
72,,0,,,,,,,,,,,,
73,,1,,,,,,,,,,,,
74,,0,,,,,,,,,,,,
75,,0,,,,,,,,,,,,
76,,0,,,,,,,,,,,,
77,,1,,,,,,,,,,,,
78,,1,,,,,,,,,,,,
79,,0,,,,,,,,,,,,
80,,1,,,,,,,,,,,,
81,,1,,,,,,,,,,,,
82,,0,,,,,,,,,,,,
83,,0,,,,,,,,,,,,
84,,0,,,,,,,,,,,,
85,,1,,,,,,,,,,,,
86,,1,,,,,,,,,,,,
87,,0,,,,,,,,,,,,
88,,1,,,,,,,,,,,,
89,,0,,,,,,,,,,,,
90,,1,,,,,,,,,,,,
91,,0,,,,,,,,,,,,
92,,1,,,,,,,,,,,,
93,,0,,,,,,,,,,,,
94,,0,,,,,,,,,,,,
95,,1,,,,,,,,,,,,
96,,0,,,,,,,,,,,,
97,,1,,,,,,,,,,,,
98,,0,,,,,,,,,,,,
99,,1,,,,,,,,,,,,
100,,1,,,,,,,,,,,,
101,,1,,,,,,,,,,,,
102,,1,,,,,,,,,,,,
103,,0,,,,,,,,,,,,
104,,1,,,,,,,,,,,,
105,,1,,,,,,,,,,,,
106,,0,,,,,,,,,,,,
107,,1,,,,,,,,,,,,
108,,0,,,,,,,,,,,,
109,,0,,,,,,,,,,,,
110,,1,,,,,,,,,,,,
111,,0,,,,,,,,,,,,
112,,1,,,,,,,,,,,,
113,,0,,,,,,,,,,,,
114,,1,,,,,,,,,,,,
115,,0,,,,,,,,,,,,
116,,1,,,,,,,,,,,,
117,,0,,,,,,,,,,,,
118,,0,,,,,,,,,,,,
119,,1,,,,,,,,,,,,
120,,0,,,,,,,,,,,,
121,,1,,,,,,,,,,,,
122,,1,,,,,,,,,,,,
123,,0,,,,,,,,,,,,
124,,1,,,,,,,,,,,,
125,,1,,,,,,,,,,,,
126,,1,,,,,,,,,,,,
127,,0,,,,,,,,,,,,
128,,0,,,,,,,,,,,,
129,,0,,,,,,,,,,,,
130,,0,,,,,,,,,,,,
131,,1,,,,,,,,,,,,
132,,1,,,,,,,,,,,,
133,,0,,,,,,,,,,,,
134,,1,,,,,,,,,,,,
135,,0,,,,,,,,,,,,
136,,0,,,,,,,,,,,,
137,,1,,,,,,,,,,,,
138,,0,,,,,,,,,,,,
139,,1,,,,,,,,,,,,
140,,0,,,,,,,,,,,,
141,,1,,,,,,,,,,,,
142,,0,,,,,,,,,,,,
143,,1,,,,,,,,,,,,
144,,1,,,,,,,,,,,,
145,,1,,,,,,,,,,,,
146,,1,,,,,,,,,,,,
147,,1,,,,,,,,,,,,
148,,1,,,,,,,,,,,,
149,,1,,,,,,,,,,,,
150,,1,,,,,,,,,,,,
151,,0,,,,,,,,,,,,
152,,0,,,,,,,,,,,,
153,,1,,,,,,,,,,,,
154,,0,,,,,,,,,,,,
155,,1,,,,,,,,,,,,
156,,0,,,,,,,,,,,,
157,,0,,,,,,,,,,,,
158,,0,,,,,,,,,,,,
159,,0,,,,,,,,,,,,
160,,0,,,,,,,,,,,,
161,,1,,,,,,,,,,,,
162,,0,,,,,,,,,,,,
163,,1,,,,,,,,,,,,
164,,0,,,,,,,,,,,,
165,,0,,,,,,,,,,,,
166,,0,,,,,,,,,,,,
167,,1,,,,,,,,,,,,
168,,0,,,,,,,,,,,,
169,,1,,,,,,,,,,,,
170,,1,,,,,,,,,,,,
171,,1,,,,,,,,,,,,
172,,0,,,,,,,,,,,,
173,,1,,,,,,,,,,,,
174,,1,,,,,,,,,,,,
175,,1,,,,,,,,,,,,
176,,1,,,,,,,,,,,,
177,,0,,,,,,,,,,,,
178,,1,,,,,,,,,,,,
179,,1,,,,,,,,,,,,
180,,0,,,,,,,,,,,,
181,,1,,,,,,,,,,,,
182,,0,,,,,,,,,,,,
183,,1,,,,,,,,,,,,
184,,0,,,,,,,,,,,,
185,,1,,,,,,,,,,,,
186,,1,,,,,,,,,,,,
187,,0,,,,,,,,,,,,
188,,1,,,,,,,,,,,,
189,,1,,,,,,,,,,,,
190,,0,,,,,,,,,,,,
191,,1,,,,,,,,,,,,
192,,1,,,,,,,,,,,,
193,,0,,,,,,,,,,,,
194,,0,,,,,,,,,,,,
195,,1,,,,,,,,,,,,
196,,1,,,,,,,,,,,,
197,,1,,,,,,,,,,,,
198,,1,,,,,,,,,,,,
199,,0,,,,,,,,,,,,
200,,0,,,,,,,,,,,,
201,,1,,,,,,,,,,,,
202,,1,,,,,,,,,,,,
203,,1,,,,,,,,,,,,
204,,0,,,,,,,,,,,,
205,,1,,,,,,,,,,,,
206,,0,,,,,,,,,,,,
207,,1,,,,,,,,,,,,
208,,1,,,,,,,,,,,,
209,,0,,,,,,,,,,,,
210,,0,,,,,,,,,,,,
211,,1,,,,,,,,,,,,
212,,0,,,,,,,,,,,,
213,,0,,,,,,,,,,,,
214,,1,,,,,,,,,,,,
215,,0,,,,,,,,,,,,
216,,1,,,,,,,,,,,,
217,,0,,,,,,,,,,,,
218,,0,,,,,,,,,,,,
219,,0,,,,,,,,,,,,
220,,0,,,,,,,,,,,,
221,,1,,,,,,,,,,,,
222,,0,,,,,,,,,,,,
223,,1,,,,,,,,,,,,
224,,0,,,,,,,,,,,,
225,,1,,,,,,,,,,,,
226,,0,,,,,,,,,,,,
227,,1,,,,,,,,,,,,
228,,1,,,,,,,,,,,,
229,,1,,,,,,,,,,,,
230,,0,,,,,,,,,,,,
231,,1,,,,,,,,,,,,
232,,1,,,,,,,,,,,,
233,,1,,,,,,,,,,,,
234,,1,,,,,,,,,,,,
235,,0,,,,,,,,,,,,
236,,1,,,,,,,,,,,,
237,,0,,,,,,,,,,,,
238,,1,,,,,,,,,,,,
239,,0,,,,,,,,,,,,
240,,1,,,,,,,,,,,,
241,,1,,,,,,,,,,,,
242,,0,,,,,,,,,,,,
243,,1,,,,,,,,,,,,
244,,0,,,,,,,,,,,,
245,,1,,,,,,,,,,,,
246,,0,,,,,,,,,,,,
247,,1,,,,,,,,,,,,
248,,1,,,,,,,,,,,,
249,,1,,,,,,,,,,,,
250,,0,,,,,,,,,,,,
251,,0,,,,,,,,,,,,
252,,0,,,,,,,,,,,,
253,,0,,,,,,,,,,,,
254,,0,,,,,,,,,,,,
255,,0,,,,,,,,,,,,
256,,1,,,,,,,,,,,,
257,,1,,,,,,,,,,,,
258,,1,,,,,,,,,,,,
259,,1,,,,,,,,,,,,
260,,1,,,,,,,,,,,,
261,,0,,,,,,,,,,,,
262,,1,,,,,,,,,,,,
263,,1,,,,,,,,,,,,
264,,0,,,,,,,,,,,,
265,,0,,,,,,,,,,,,
266,,1,,,,,,,,,,,,
267,,1,,,,,,,,,,,,
268,,0,,,,,,,,,,,,
269,,1,,,,,,,,,,,,
270,,0,,,,,,,,,,,,
271,,0,,,,,,,,,,,,
272,,1,,,,,,,,,,,,
273,,1,,,,,,,,,,,,
274,,0,,,,,,,,,,,,
275,,0,,,,,,,,,,,,
276,,0,,,,,,,,,,,,
277,,1,,,,,,,,,,,,
278,,1,,,,,,,,,,,,
279,,0,,,,,,,,,,,,
280,,0,,,,,,,,,,,,
281,,0,,,,,,,,,,,,
282,,1,,,,,,,,,,,,
283,,0,,,,,,,,,,,,
284,,0,,,,,,,,,,,,
285,,0,,,,,,,,,,,,
286,,0,,,,,,,,,,,,
287,,0,,,,,,,,,,,,
288,,1,,,,,,,,,,,,
289,,0,,,,,,,,,,,,
290,,1,,,,,,,,,,,,
291,,1,,,,,,,,,,,,
292,,0,,,,,,,,,,,,
293,,1,,,,,,,,,,,,
294,,0,,,,,,,,,,,,
295,,0,,,,,,,,,,,,
296,,1,,,,,,,,,,,,
297,,0,,,,,,,,,,,,
298,,1,,,,,,,,,,,,
299,,1,,,,,,,,,,,,
300,,1,,,,,,,,,,,,
301,,1,,,,,,,,,,,,
302,,1,,,,,,,,,,,,
303,,0,,,,,,,,,,,,
304,,0,,,,,,,,,,,,
305,,1,,,,,,,,,,,,
306,,1,,,,,,,,,,,,
307,,1,,,,,,,,,,,,
308,,1,,,,,,,,,,,,
309,,0,,,,,,,,,,,,
310,,1,,,,,,,,,,,,
311,,1,,,,,,,,,,,,
312,,1,,,,,,,,,,,,
313,,0,,,,,,,,,,,,
314,,0,,,,,,,,,,,,
315,,0,,,,,,,,,,,,
316,,0,,,,,,,,,,,,
317,,0,,,,,,,,,,,,
318,,1,,,,,,,,,,,,
319,,0,,,,,,,,,,,,
320,,0,,,,,,,,,,,,
321,,0,,,,,,,,,,,,
322,,0,,,,,,,,,,,,
323,,1,,,,,,,,,,,,
324,,1,,,,,,,,,,,,
325,,0,,,,,,,,,,,,
326,,1,,,,,,,,,,,,
327,,1,,,,,,,,,,,,
328,,0,,,,,,,,,,,,
329,,0,,,,,,,,,,,,
330,,0,,,,,,,,,,,,
331,,1,,,,,,,,,,,,
332,,1,,,,,,,,,,,,
333,,1,,,,,,,,,,,,
334,,0,,,,,,,,,,,,
335,,0,,,,,,,,,,,,
336,,1,,,,,,,,,,,,
337,,0,,,,,,,,,,,,
338,,0,,,,,,,,,,,,
339,,1,,,,,,,,,,,,
340,,0,,,,,,,,,,,,
341,,1,,,,,,,,,,,,
342,,1,,,,,,,,,,,,
343,,0,,,,,,,,,,,,
344,,0,,,,,,,,,,,,
345,,1,,,,,,,,,,,,
346,,1,,,,,,,,,,,,
347,,0,,,,,,,,,,,,
348,,0,,,,,,,,,,,,
349,,0,,,,,,,,,,,,
350,,0,,,,,,,,,,,,
351,,0,,,,,,,,,,,,
352,,1,,,,,,,,,,,,
353,,1,,,,,,,,,,,,
354,,1,,,,,,,,,,,,
355,,0,,,,,,,,,,,,
356,,1,,,,,,,,,,,,
357,,0,,,,,,,,,,,,
358,,1,,,,,,,,,,,,
359,,1,,,,,,,,,,,,
360,,0,,,,,,,,,,,,
361,,1,,,,,,,,,,,,
362,,1,,,,,,,,,,,,
363,,0,,,,,,,,,,,,
364,,1,,,,,,,,,,,,
365,,1,,,,,,,,,,,,
366,,1,,,,,,,,,,,,
367,,0,,,,,,,,,,,,
368,,1,,,,,,,,,,,,
369,,0,,,,,,,,,,,,
370,,0,,,,,,,,,,,,
371,,1,,,,,,,,,,,,
372,,1,,,,,,,,,,,,
373,,1,,,,,,,,,,,,
374,,0,,,,,,,,,,,,
375,,1,,,,,,,,,,,,
376,,0,,,,,,,,,,,,
377,,0,,,,,,,,,,,,
378,,0,,,,,,,,,,,,
379,,1,,,,,,,,,,,,
380,,1,,,,,,,,,,,,
381,,0,,,,,,,,,,,,
382,,0,,,,,,,,,,,,
383,,1,,,,,,,,,,,,
384,,0,,,,,,,,,,,,
385,,0,,,,,,,,,,,,
386,,1,,,,,,,,,,,,
387,,1,,,,,,,,,,,,
388,,0,,,,,,,,,,,,
389,,0,,,,,,,,,,,,
390,,0,,,,,,,,,,,,
391,,1,,,,,,,,,,,,
392,,1,,,,,,,,,,,,
393,,1,,,,,,,,,,,,
394,,1,,,,,,,,,,,,
395,,1,,,,,,,,,,,,
396,,0,,,,,,,,,,,,
397,,0,,,,,,,,,,,,
398,,1,,,,,,,,,,,,
399,,0,,,,,,,,,,,,
400,,1,,,,,,,,,,,,
401,,0,,,,,,,,,,,,
402,,0,,,,,,,,,,,,
403,,0,,,,,,,,,,,,
404,,1,,,,,,,,,,,,
405,,0,,,,,,,,,,,,
406,,1,,,,,,,,,,,,
407,,0,,,,,,,,,,,,
408,,1,,,,,,,,,,,,
409,,0,,,,,,,,,,,,
410,,0,,,,,,,,,,,,
411,,1,,,,,,,,,,,,
412,,0,,,,,,,,,,,,
413,,1,,,,,,,,,,,,
414,,0,,,,,,,,,,,,
415,,0,,,,,,,,,,,,
416,,0,,,,,,,,,,,,
417,,1,,,,,,,,,,,,
418,,0,,,,,,,,,,,,
419,,0,,,,,,,,,,,,
420,,1,,,,,,,,,,,,
421,,0,,,,,,,,,,,,
422,,0,,,,,,,,,,,,
423,,1,,,,,,,,,,,,
424,,0,,,,,,,,,,,,
425,,1,,,,,,,,,,,,
426,,1,,,,,,,,,,,,
427,,1,,,,,,,,,,,,
428,,1,,,,,,,,,,,,
429,,1,,,,,,,,,,,,
430,,0,,,,,,,,,,,,
431,,1,,,,,,,,,,,,
432,,1,,,,,,,,,,,,
433,,0,,,,,,,,,,,,
434,,1,,,,,,,,,,,,
435,,0,,,,,,,,,,,,
436,,1,,,,,,,,,,,,
437,,0,,,,,,,,,,,,
438,,0,,,,,,,,,,,,
439,,0,,,,,,,,,,,,
440,,1,,,,,,,,,,,,
441,,1,,,,,,,,,,,,
442,,1,,,,,,,,,,,,
443,,1,,,,,,,,,,,,
444,,0,,,,,,,,,,,,
445,,0,,,,,,,,,,,,
446,,1,,,,,,,,,,,,
447,,1,,,,,,,,,,,,
448,,1,,,,,,,,,,,,
449,,0,,,,,,,,,,,,
450,,0,,,,,,,,,,,,
451,,1,,,,,,,,,,,,
452,,1,,,,,,,,,,,,
453,,0,,,,,,,,,,,,
454,,1,,,,,,,,,,,,
455,,0,,,,,,,,,,,,
456,,0,,,,,,,,,,,,
457,,1,,,,,,,,,,,,
458,,0,,,,,,,,,,,,
459,,0,,,,,,,,,,,,
460,,0,,,,,,,,,,,,
461,,0,,,,,,,,,,,,
462,,0,,,,,,,,,,,,
463,,1,,,,,,,,,,,,
464,,0,,,,,,,,,,,,
465,,0,,,,,,,,,,,,
466,,1,,,,,,,,,,,,
467,,1,,,,,,,,,,,,
468,,0,,,,,,,,,,,,
469,,1,,,,,,,,,,,,
470,,0,,,,,,,,,,,,
471,,1,,,,,,,,,,,,
472,,0,,,,,,,,,,,,
473,,1,,,,,,,,,,,,
474,,1,,,,,,,,,,,,
475,,1,,,,,,,,,,,,
476,,0,,,,,,,,,,,,
477,,0,,,,,,,,,,,,
478,,1,,,,,,,,,,,,
479,,0,,,,,,,,,,,,
480,,0,,,,,,,,,,,,
481,,1,,,,,,,,,,,,
482,,0,,,,,,,,,,,,
483,,1,,,,,,,,,,,,
484,,0,,,,,,,,,,,,
485,,0,,,,,,,,,,,,
486,,1,,,,,,,,,,,,
487,,0,,,,,,,,,,,,
488,,1,,,,,,,,,,,,
489,,1,,,,,,,,,,,,
490,,1,,,,,,,,,,,,
491,,1,,,,,,,,,,,,
492,,1,,,,,,,,,,,,
493,,1,,,,,,,,,,,,
494,,1,,,,,,,,,,,,
495,,1,,,,,,,,,,,,
496,,1,,,,,,,,,,,,
497,,1,,,,,,,,,,,,
498,,0,,,,,,,,,,,,
499,,0,,,,,,,,,,,,
500,,1,,,,,,,,,,,,
501,,0,,,,,,,,,,,,
502,,1,,,,,,,,,,,,
503,,0,,,,,,,,,,,,
504,,1,,,,,,,,,,,,
505,,0,,,,,,,,,,,,
506,,1,,,,,,,,,,,,
507,,0,,,,,,,,,,,,
508,,1,,,,,,,,,,,,
509,,1,,,,,,,,,,,,
510,,1,,,,,,,,,,,,
511,,1,,,,,,,,,,,,
512,,0,,,,,,,,,,,,
513,,1,,,,,,,,,,,,
514,,0,,,,,,,,,,,,
515,,0,,,,,,,,,,,,
516,,1,,,,,,,,,,,,
517,,1,,,,,,,,,,,,
518,,1,,,,,,,,,,,,
519,,1,,,,,,,,,,,,
520,,1,,,,,,,,,,,,
521,,1,,,,,,,,,,,,
522,,1,,,,,,,,,,,,
523,,0,,,,,,,,,,,,
524,,1,,,,,,,,,,,,
525,,1,,,,,,,,,,,,
526,,1,,,,,,,,,,,,
527,,0,,,,,,,,,,,,
528,,0,,,,,,,,,,,,
529,,0,,,,,,,,,,,,
530,,1,,,,,,,,,,,,
531,,0,,,,,,,,,,,,
532,,0,,,,,,,,,,,,
533,,1,,,,,,,,,,,,
534,,1,,,,,,,,,,,,
535,,1,,,,,,,,,,,,
536,,0,,,,,,,,,,,,
537,,0,,,,,,,,,,,,
538,,1,,,,,,,,,,,,
539,,1,,,,,,,,,,,,
540,,1,,,,,,,,,,,,
541,,1,,,,,,,,,,,,
542,,0,,,,,,,,,,,,
543,,0,,,,,,,,,,,,
544,,0,,,,,,,,,,,,
545,,1,,,,,,,,,,,,
546,,1,,,,,,,,,,,,
547,,0,,,,,,,,,,,,
548,,1,,,,,,,,,,,,
549,,0,,,,,,,,,,,,
550,,0,,,,,,,,,,,,
551,,1,,,,,,,,,,,,
552,,1,,,,,,,,,,,,
